Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 10:57:07 PM	, 	allow	, 	http://channel9.msdn.com/Series/Visual-Studio-2012-Premium-and-Ultimate-Overview/RSS
8/26/2015 10:57:07 PM	, 	allow	, 	http://sxp.microsoft.com/feeds/3.0/msdntn/VisualStudioNews
8/26/2015 10:58:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,644,644,0&db_conn=1,0,0,0,0
8/26/2015 10:59:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,534,534,0&db_conn=1,0,0,0,0
8/26/2015 11:00:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,541,541,0&db_conn=1,0,0,0,0
8/26/2015 11:00:25 PM	, 	allow	, 	http://farm-ae.funplusgame.com/gateway.php?s=a98880_100002157276900
8/26/2015 11:01:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,511,511,0&url_promo=1,0,1216,1216,0&db_conn=1,0,0,0,0
8/26/2015 11:01:42 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:02:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,531,531,0&db_conn=1,0,0,0,0
8/26/2015 11:02:11 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:02:11 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:03:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,567,567,0&db_conn=1,0,0,0,0
8/26/2015 11:04:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,658,658,0&db_conn=1,0,0,0,0
8/26/2015 11:05:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,661,661,0&db_conn=1,0,0,0,0
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/280/sha/67e63542797175e1bcf8a4a3fa3b72adc50e6d28.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/220/sha/770c9017f01eb30a96aa43d8b163406e829f3361.txt.gz
